training_seed,case_id,case_seed,difficulty,condition,acceptable,violation_score,canonical_objective,high_level_actions,stopping_reason
0,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.024059774787019705,1,direct_terminal_settings
0,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.0444974199126591,1,acceptable
0,synthetic3d-018032,18032,hard,endpoint_direct,False,0.24357754705933532,0.3449457779061049,1,direct_terminal_settings
0,synthetic3d-018032,18032,hard,trajectory_policy,False,0.3064112056734457,0.39579223142936826,3,policy_stop
0,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.048806566883285996,1,direct_terminal_settings
0,synthetic3d-018015,18015,easy,trajectory_policy,False,0.02902031668189098,0.08644735564303119,1,policy_stop
0,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.03499608730635373,1,direct_terminal_settings
0,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.0553905768902041,1,acceptable
0,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.11004690464687883,1,direct_terminal_settings
0,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.1724793402263458,1,acceptable
0,synthetic3d-018012,18012,easy,endpoint_direct,False,0.10681363458840876,0.11681727264658548,1,direct_terminal_settings
0,synthetic3d-018012,18012,easy,trajectory_policy,False,0.20890547168494455,0.1787673212675145,1,policy_stop
0,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.19764494951232336,1,direct_terminal_settings
0,synthetic3d-018001,18001,moderate,trajectory_policy,False,0.2133418655336805,0.33963324036449194,1,policy_stop
0,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.2166377731555258,1,direct_terminal_settings
0,synthetic3d-018022,18022,moderate,trajectory_policy,False,0.04953929662755252,0.2758886606898159,2,policy_stop
1,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.024530016016797163,1,direct_terminal_settings
1,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.04333085658799973,1,acceptable
1,synthetic3d-018032,18032,hard,endpoint_direct,False,0.3348648854845823,0.3828318972955458,1,direct_terminal_settings
1,synthetic3d-018032,18032,hard,trajectory_policy,False,0.06047267913818359,0.3038298731553368,4,policy_stop
1,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.04889067022304516,1,direct_terminal_settings
1,synthetic3d-018015,18015,easy,trajectory_policy,False,0.0451446429461837,0.08433011473243823,1,policy_stop
1,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.03632102056144504,1,direct_terminal_settings
1,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.05539058358408511,1,acceptable
1,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.13779504239209928,1,direct_terminal_settings
1,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.17247932556529122,1,acceptable
1,synthetic3d-018012,18012,easy,endpoint_direct,False,0.10421282522790509,0.1161840890563326,1,direct_terminal_settings
1,synthetic3d-018012,18012,easy,trajectory_policy,False,0.19496289451989646,0.16729642273276113,2,policy_stop
1,synthetic3d-018001,18001,moderate,endpoint_direct,False,0.21684289437524096,0.3520207229303196,1,direct_terminal_settings
1,synthetic3d-018001,18001,moderate,trajectory_policy,False,0.05534311372733747,0.3567927418043837,2,policy_stop
1,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.21855866889382014,1,direct_terminal_settings
1,synthetic3d-018022,18022,moderate,trajectory_policy,False,0.16195744981321725,0.3624501856393181,1,policy_stop
2,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.02412612931948388,1,direct_terminal_settings
2,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.043330835633241804,1,acceptable
2,synthetic3d-018032,18032,hard,endpoint_direct,False,0.2514974753982502,0.34936310577904806,1,direct_terminal_settings
2,synthetic3d-018032,18032,hard,trajectory_policy,False,0.3064111103060141,0.39579209551448,3,policy_stop
2,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.04937553443596698,1,direct_terminal_settings
2,synthetic3d-018015,18015,easy,trajectory_policy,False,0.045144425688444345,0.08433006158156786,1,policy_stop
