training_seed,case_id,case_seed,difficulty,condition,acceptable,violation_score,canonical_objective,high_level_actions,stopping_reason
0,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.024059765801212052,1,direct_terminal_settings
0,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.04449741292773979,1,acceptable
0,synthetic3d-018032,18032,hard,endpoint_direct,False,0.2435774402661779,0.3449457208625972,1,direct_terminal_settings
0,synthetic3d-018032,18032,hard,trajectory_policy,False,0.029462814331054688,0.39860475284513086,10,policy_step_limit
0,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.04880659715126967,1,direct_terminal_settings
0,synthetic3d-018015,18015,easy,trajectory_policy,True,0.0,0.06689486635877984,4,acceptable
0,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.03499609956634231,1,direct_terminal_settings
0,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.05539058387512341,1,acceptable
0,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.11004690821209806,1,direct_terminal_settings
0,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.17247930250960053,1,acceptable
0,synthetic3d-018012,18012,easy,endpoint_direct,False,0.10681363458840876,0.1168173168116482,1,direct_terminal_settings
0,synthetic3d-018012,18012,easy,trajectory_policy,True,0.0,0.07848403485695599,8,acceptable
0,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.19764492608373985,1,direct_terminal_settings
0,synthetic3d-018001,18001,moderate,trajectory_policy,True,0.0,0.2679942414397374,5,acceptable
0,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.21659055146301398,1,direct_terminal_settings
0,synthetic3d-018022,18022,moderate,trajectory_policy,True,0.0,0.24559274002058373,5,acceptable
1,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.024530002374376636,1,direct_terminal_settings
1,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.04333086757469573,1,acceptable
1,synthetic3d-018032,18032,hard,endpoint_direct,False,0.3348644739838003,0.3828318521846086,1,direct_terminal_settings
1,synthetic3d-018032,18032,hard,trajectory_policy,False,0.04624776840209961,0.7204954908229411,10,policy_step_limit
1,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.04889067720796447,1,direct_terminal_settings
1,synthetic3d-018015,18015,easy,trajectory_policy,True,0.0,0.07380327939245035,5,acceptable
1,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.036321022889751475,1,direct_terminal_settings
1,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.0553905784181552,1,acceptable
1,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.13921202153142076,1,direct_terminal_settings
1,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.1711631059879437,1,acceptable
1,synthetic3d-018012,18012,easy,endpoint_direct,False,0.10417808621669966,0.11618577686022036,1,direct_terminal_settings
1,synthetic3d-018012,18012,easy,trajectory_policy,True,0.0,0.08853982653818093,9,acceptable
1,synthetic3d-018001,18001,moderate,endpoint_direct,False,0.2168426443228122,0.35202068436774425,1,direct_terminal_settings
1,synthetic3d-018001,18001,moderate,trajectory_policy,True,0.0,0.28494629135821015,4,acceptable
1,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.21856354791907506,1,direct_terminal_settings
1,synthetic3d-018022,18022,moderate,trajectory_policy,True,0.0,0.2906536068257992,2,acceptable
2,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.024126116350089433,1,direct_terminal_settings
2,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.043330823191354284,1,acceptable
2,synthetic3d-018032,18032,hard,endpoint_direct,False,0.2514974753982502,0.3493630912271328,1,direct_terminal_settings
2,synthetic3d-018032,18032,hard,trajectory_policy,False,0.2028695473607695,0.35530487424694,10,policy_step_limit
2,synthetic3d-018015,18015,easy,endpoint_direct,True,0.0,0.049375518356100656,1,direct_terminal_settings
2,synthetic3d-018015,18015,easy,trajectory_policy,True,0.0,0.08771918553975411,4,acceptable
2,synthetic3d-018018,18018,easy,endpoint_direct,True,0.0,0.03488464237307198,1,direct_terminal_settings
2,synthetic3d-018018,18018,easy,trajectory_policy,True,0.0,0.05539058358408511,1,acceptable
2,synthetic3d-018025,18025,moderate,endpoint_direct,True,0.0,0.10110447343322448,1,direct_terminal_settings
2,synthetic3d-018025,18025,moderate,trajectory_policy,True,0.0,0.17247942998437793,1,acceptable
2,synthetic3d-018012,18012,easy,endpoint_direct,False,0.1289061453590179,0.12033905171847437,1,direct_terminal_settings
2,synthetic3d-018012,18012,easy,trajectory_policy,True,0.0,0.08292399608762935,8,acceptable
2,synthetic3d-018001,18001,moderate,endpoint_direct,True,0.0,0.22670806240057573,1,direct_terminal_settings
2,synthetic3d-018001,18001,moderate,trajectory_policy,True,0.0,0.26163800721406005,3,acceptable
2,synthetic3d-018022,18022,moderate,endpoint_direct,True,0.0,0.22891442516993266,1,direct_terminal_settings
2,synthetic3d-018022,18022,moderate,trajectory_policy,True,0.0,0.29065329443255905,2,acceptable
3,synthetic3d-018036,18036,easy,endpoint_direct,True,0.0,0.023940036535350373,1,direct_terminal_settings
3,synthetic3d-018036,18036,easy,trajectory_policy,True,0.0,0.04449741292773979,1,acceptable
3,synthetic3d-018032,18032,hard,endpoint_direct,False,0.4380538498513985,0.44271292848861776,1,direct_terminal_settings
3,synthetic3d-018032,18032,hard,trajectory_policy,False,0.010248453443953753,0.3470751643180847,10,policy_step_limit
