training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,stopping_reason
0,endpoint,synthetic3d-018036,18036,easy,True,0.0,2,acceptable
0,endpoint,synthetic3d-018032,18032,hard,False,0.1059628719045893,10,policy_step_limit
0,endpoint,synthetic3d-018015,18015,easy,True,0.0,5,acceptable
0,endpoint,synthetic3d-018018,18018,easy,True,0.0,2,acceptable
0,endpoint,synthetic3d-018025,18025,moderate,True,0.0,2,acceptable
0,endpoint,synthetic3d-018012,18012,easy,False,0.2663276526922056,10,policy_step_limit
0,endpoint,synthetic3d-018001,18001,moderate,True,0.0,6,acceptable
0,endpoint,synthetic3d-018022,18022,moderate,True,0.0,10,acceptable
0,trajectory,synthetic3d-018036,18036,easy,True,0.0,2,acceptable
0,trajectory,synthetic3d-018032,18032,hard,False,0.2056497637491271,10,policy_step_limit
0,trajectory,synthetic3d-018015,18015,easy,True,0.0,3,acceptable
0,trajectory,synthetic3d-018018,18018,easy,True,0.0,4,acceptable
0,trajectory,synthetic3d-018025,18025,moderate,True,0.0,3,acceptable
0,trajectory,synthetic3d-018012,18012,easy,False,0.14285206947198947,10,policy_step_limit
0,trajectory,synthetic3d-018001,18001,moderate,False,0.07645632653319057,10,policy_step_limit
0,trajectory,synthetic3d-018022,18022,moderate,True,0.0,6,acceptable
1,endpoint,synthetic3d-018036,18036,easy,True,0.0,3,acceptable
1,endpoint,synthetic3d-018032,18032,hard,False,0.32605907066225515,10,policy_step_limit
1,endpoint,synthetic3d-018015,18015,easy,False,0.12163829803466797,10,policy_step_limit
1,endpoint,synthetic3d-018018,18018,easy,True,0.0,10,acceptable
1,endpoint,synthetic3d-018025,18025,moderate,True,0.0,2,acceptable
1,endpoint,synthetic3d-018012,18012,easy,False,0.22901782989501954,10,policy_step_limit
1,endpoint,synthetic3d-018001,18001,moderate,False,0.3788565964494376,10,policy_step_limit
1,endpoint,synthetic3d-018022,18022,moderate,False,0.4000275115819545,10,policy_step_limit
1,trajectory,synthetic3d-018036,18036,easy,True,0.0,2,acceptable
1,trajectory,synthetic3d-018032,18032,hard,True,0.0,8,acceptable
1,trajectory,synthetic3d-018015,18015,easy,True,0.0,9,acceptable
1,trajectory,synthetic3d-018018,18018,easy,True,0.0,2,acceptable
1,trajectory,synthetic3d-018025,18025,moderate,True,0.0,3,acceptable
1,trajectory,synthetic3d-018012,18012,easy,False,0.12819370709931577,10,policy_step_limit
1,trajectory,synthetic3d-018001,18001,moderate,False,0.16462843865654175,10,policy_step_limit
1,trajectory,synthetic3d-018022,18022,moderate,True,0.0,5,acceptable
2,endpoint,synthetic3d-018036,18036,easy,True,0.0,6,acceptable
2,endpoint,synthetic3d-018032,18032,hard,False,0.313329216055241,10,policy_step_limit
2,endpoint,synthetic3d-018015,18015,easy,True,0.0,3,acceptable
2,endpoint,synthetic3d-018018,18018,easy,True,0.0,2,acceptable
2,endpoint,synthetic3d-018025,18025,moderate,True,0.0,2,acceptable
2,endpoint,synthetic3d-018012,18012,easy,False,0.027172536560489523,10,policy_step_limit
2,endpoint,synthetic3d-018001,18001,moderate,False,0.24126320302849824,10,policy_step_limit
2,endpoint,synthetic3d-018022,18022,moderate,False,0.2995448792557096,10,policy_step_limit
2,trajectory,synthetic3d-018036,18036,easy,True,0.0,2,acceptable
2,trajectory,synthetic3d-018032,18032,hard,False,0.19496132541694103,10,policy_step_limit
2,trajectory,synthetic3d-018015,18015,easy,True,0.0,3,acceptable
2,trajectory,synthetic3d-018018,18018,easy,True,0.0,2,acceptable
2,trajectory,synthetic3d-018025,18025,moderate,True,0.0,3,acceptable
2,trajectory,synthetic3d-018012,18012,easy,False,0.21912243416322008,10,policy_step_limit
2,trajectory,synthetic3d-018001,18001,moderate,False,0.07806216323036597,10,policy_step_limit
2,trajectory,synthetic3d-018022,18022,moderate,True,0.0,8,acceptable
