phase,condition,seed,train_setting_mae,train_beam_accuracy,train_priority_mae,train_action_accuracy,test_setting_mae
overfit32,endpoint,0,0.000861767097376287,1.0,0.002930008340626955,,
overfit32,trajectory,0,0.0005333904409781098,1.0,0.0018135275458917022,1.0,
overfit32,endpoint,1,0.0009533936972729862,1.0,0.003241538302972913,,
overfit32,trajectory,1,0.0005911769694648683,1.0,0.0020100015681236982,1.0,
overfit32,endpoint,2,0.0008062247070483863,1.0,0.0027411640621721745,,
overfit32,trajectory,2,0.0007171749603003263,1.0,0.0024383950512856245,1.0,
train24_test8,endpoint,0,0.0012178494362160563,1.0,0.004140688106417656,,0.10555807501077652
train24_test8,trajectory,0,0.0005284720100462437,1.0,0.0017968049505725503,1.0,0.11743289977312088
train24_test8,endpoint,1,0.0006217390182428062,1.0,0.002113912720233202,,0.09799204021692276
train24_test8,trajectory,1,0.0005339720519259572,1.0,0.0018155049765482545,1.0,0.11846761405467987
train24_test8,endpoint,2,0.0007037100149318576,1.0,0.0023926140274852514,,0.09040261805057526
train24_test8,trajectory,2,0.000290139316348359,1.0,0.000986473634839058,1.0,0.09954525530338287
