phase,condition,seed,train_setting_mae,train_beam_accuracy,train_priority_mae,train_action_accuracy,test_setting_mae
overfit32,endpoint,0,0.0022874469868838787,1.0,0.0077773192897439,,
overfit32,trajectory,0,0.0012230455176904798,1.0,0.004158354364335537,1.0,
overfit32,endpoint,1,0.0023331886623054743,1.0,0.007932841777801514,,
overfit32,trajectory,1,0.0014081274857744575,1.0,0.004787634126842022,1.0,
overfit32,endpoint,2,0.001810478395782411,1.0,0.006155626382678747,,
overfit32,trajectory,2,0.0010625770082697272,1.0,0.0036127620842307806,1.0,
overfit32,endpoint,3,0.0016299393028020859,1.0,0.0055417935363948345,,
overfit32,trajectory,3,0.001601156429387629,1.0,0.005443931557238102,1.0,
overfit32,endpoint,4,0.0016555534675717354,1.0,0.005628881510347128,,
overfit32,trajectory,4,0.0012544257333502173,1.0,0.004265047609806061,1.0,
train24_test8,endpoint,0,0.0007364409975707531,1.0,0.002503899624571204,,0.08418568223714828
train24_test8,trajectory,0,0.000659024401102215,1.0,0.002240682952105999,0.9999999403953552,0.10006707161664963
train24_test8,endpoint,1,0.0011862079845741391,1.0,0.0040331073105335236,,0.07945022732019424
train24_test8,trajectory,1,0.0005856490461155772,1.0,0.001991206780076027,0.9999999403953552,0.09980468451976776
train24_test8,endpoint,2,0.0007684306474402547,1.0,0.002612663898617029,,0.08554822206497192
train24_test8,trajectory,2,0.0004077822086401284,1.0,0.0013864594511687756,0.9999999403953552,0.08665835112333298
train24_test8,endpoint,3,0.0011619155993685126,1.0,0.00395051296800375,,0.0939856544137001
train24_test8,trajectory,3,0.0006510493112728,1.0,0.0022135672625154257,0.9999999403953552,0.07761099934577942
train24_test8,endpoint,4,0.0008934384677559137,1.0,0.003037690883502364,,0.09182224422693253
train24_test8,trajectory,4,0.0016855851281434298,1.0,0.0057309893891215324,0.9999999403953552,0.07789396494626999
