phase,condition,seed,train_setting_mae,train_beam_accuracy,train_priority_mae,train_action_accuracy,test_setting_mae
overfit32,endpoint,0,0.000861767097376287,1.0,0.002930008340626955,,
overfit32,trajectory,0,0.0006094477721489966,1.0,0.0020721226464957,1.0,
overfit32,endpoint,1,0.0009533936972729862,1.0,0.003241538302972913,,
overfit32,trajectory,1,0.0005049378960393369,1.0,0.0017167888581752777,1.0,
overfit32,endpoint,2,0.0008062247070483863,1.0,0.0027411640621721745,,
overfit32,trajectory,2,0.0004168518353253603,1.0,0.001417296240106225,1.0,
train24_test8,endpoint,0,0.0012178494362160563,1.0,0.004140688106417656,,0.10555807501077652
train24_test8,trajectory,0,0.0004661319253500551,1.0,0.0015848486218601465,1.0,0.1173815131187439
train24_test8,endpoint,1,0.0006217390182428062,1.0,0.002113912720233202,,0.09799204021692276
train24_test8,trajectory,1,0.00066107272868976,1.0,0.00224764714948833,1.0,0.10784173756837845
train24_test8,endpoint,2,0.0007037100149318576,1.0,0.0023926140274852514,,0.09040261805057526
train24_test8,trajectory,2,0.0008283740608021617,1.0,0.002816472202539444,1.0,0.10665349662303925
