seed,case_id,difficulty,n_oars,target_oar_overlap_fraction,initial_acceptable,search_acceptable,reference_acceptable,initial_violation,search_violation,reference_violation,manual_actions,actions,stopping_reason,search_objective,reference_objective,canonical_objective_gap
14000,synthetic3d-014000,easy,1,0.0,False,True,True,0.15882988817551555,0.0,0.0,1,increase_target_priority,acceptable,0.047699542046757415,0.0017474553462193398,26.296572785082308
14001,synthetic3d-014001,easy,1,0.0,False,True,True,0.2728728322421803,0.0,0.0,1,add_beam,acceptable,0.049252574681304395,0.03369645215570927,0.46165461140274433
14002,synthetic3d-014002,easy,1,0.0,False,True,True,0.06524609116946947,0.0,0.0,1,increase_target_priority,acceptable,0.01290055977733573,0.0023087178533387487,4.5877593525253015
14003,synthetic3d-014003,easy,1,0.0,False,True,True,0.08504948896520276,0.0,0.0,1,increase_target_priority,acceptable,0.013622846163343638,0.0032292676769429818,3.2185558851658405
14004,synthetic3d-014004,easy,1,0.0,False,True,True,0.10711057045880483,0.0,0.0,1,increase_target_priority,acceptable,0.02451553966238862,0.0024738157208048506,8.91001045721083
14005,synthetic3d-014005,easy,1,0.0,False,True,True,0.09037134226630714,0.0,0.0,1,increase_target_priority,acceptable,0.014589422589779133,0.0012902945923087827,10.307047767807518
14006,synthetic3d-014006,easy,1,0.0,False,True,True,0.14661751073949475,0.0,0.0,1,increase_target_priority,acceptable,0.02693214777536923,0.008568065513827605,2.143317208756712
14007,synthetic3d-014007,easy,1,0.0,False,True,True,0.07711533939137176,0.0,0.0,1,increase_target_priority,acceptable,0.01629999713259167,0.0029848101576135377,4.460982867206569
14008,synthetic3d-014008,easy,1,0.0,False,True,True,0.24508333206176755,0.0,0.0,1,increase_hotspot_priority,acceptable,0.08342066299519502,0.0548373197671026,0.5212388816500806
14009,synthetic3d-014009,easy,1,0.0,False,True,True,0.10064388723934396,0.0,0.0,1,increase_target_priority,acceptable,0.0346986608201405,0.017038672049238812,1.0364650906988162
14010,synthetic3d-014010,moderate,2,0.10828729281767956,False,True,True,0.3483940562085812,0.0,0.0,1,add_beam,acceptable,0.2634686399505881,0.2183869804503047,0.20643016084258756
14011,synthetic3d-014011,moderate,2,0.006191950464396285,False,True,True,0.40903327356302377,0.0,0.0,2,add_beam|increase_oar_priority,acceptable,0.16664798684359994,0.07181871789725847,1.3203976863246314
14012,synthetic3d-014012,moderate,2,0.0073937153419593345,False,False,True,0.21066023021839123,0.01389637814238596,0.0,2,increase_oar_priority|add_beam,search_step_limit,0.23041376494802535,0.16407365095801651,0.4043313085474283
14013,synthetic3d-014013,moderate,2,0.0,False,True,True,0.06038002105133233,0.0,0.0,1,increase_oar_priority,acceptable,0.057889200693850285,0.03653587806638825,0.5844480482626297
14014,synthetic3d-014014,moderate,2,0.009216589861751152,True,True,True,0.0,0.0,0.0,0,,acceptable,0.1080816041212529,0.04843729635467753,1.2313715309342528
14015,synthetic3d-014015,moderate,2,0.0,False,True,True,0.2759706632114757,0.0,0.0,1,add_beam,acceptable,0.20068036908924114,0.08457673277007416,1.3727609534740506
14016,synthetic3d-014016,moderate,2,0.009395973154362415,False,True,True,0.41964198293230626,0.0,0.0,1,add_beam,acceptable,0.1570542551780818,0.1263042411301285,0.24345986938215505
14017,synthetic3d-014017,moderate,2,0.02756892230576441,False,False,False,0.4545604142833182,0.008091407663681901,0.00922250747680664,4,add_beam|add_beam|remove_beam|remove_beam,search_step_limit,0.16748033463954926,0.19363651634193957,-0.13507876611558917
14018,synthetic3d-014018,moderate,2,0.005141388174807198,False,True,True,0.10590476148268754,0.0,0.0,1,increase_hotspot_priority,acceptable,0.1411944319261238,0.06978901685215533,1.0231612121035807
14019,synthetic3d-014019,moderate,2,0.06,False,True,True,0.21362038857315102,0.0,0.0,2,increase_target_priority|remove_beam,acceptable,0.26793580793309957,0.19951819791458547,0.3429141338165251
14020,synthetic3d-014020,hard,3,0.052552552552552555,False,True,True,1.0135085916391329,0.0,0.0,2,add_beam|add_beam,acceptable,0.2885848074220121,0.27194897012122965,0.06117264313730073
14021,synthetic3d-014021,hard,3,0.14106583072100312,False,False,False,1.045158870652887,0.161000055130692,0.19390103473535622,6,add_beam|add_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|add_beam,search_step_limit,0.5461632646620274,0.5398130230605602,0.011763779920431292
14022,synthetic3d-014022,hard,3,0.01727447216890595,False,True,True,0.7617496999675081,0.0,0.0,3,add_beam|add_beam|remove_beam,acceptable,0.2364634006517008,0.23300609784200788,0.014837821163106118
