seed,case_id,difficulty,n_oars,target_oar_overlap_fraction,initial_acceptable,search_acceptable,reference_acceptable,initial_violation,search_violation,reference_violation,manual_actions,actions,stopping_reason,search_objective,reference_objective,canonical_objective_gap
17000,synthetic3d-017000,easy,1,0.0,False,True,True,0.07147197723388672,0.0,0.0,1,increase_hotspot_priority,acceptable,0.0016176388317035162,0.000668195280013606,1.4209073007378583
17001,synthetic3d-017001,easy,1,0.0,False,True,True,0.1286931037902832,0.0,0.0,1,increase_hotspot_priority,acceptable,0.05930290280957706,0.00992035202216357,4.977903070081121
17002,synthetic3d-017002,easy,1,0.0,False,True,True,0.21392078399658204,0.0,0.0,1,increase_hotspot_priority,acceptable,0.00908612947569054,0.00027343808596924646,32.22920230180538
17003,synthetic3d-017003,easy,1,0.0,False,True,True,0.06193675994873047,0.0,0.0,1,increase_hotspot_priority,acceptable,0.11526033515110612,0.022772218762838747,4.06144510341679
17004,synthetic3d-017004,easy,1,0.0,False,True,True,0.19824571609497071,0.0,0.0,1,increase_hotspot_priority,acceptable,0.04209485805404256,0.0031178219877858737,12.501366729386719
17005,synthetic3d-017005,easy,1,0.0,False,True,True,0.12798279390371842,0.0,0.0,1,increase_hotspot_priority,acceptable,0.03092201986873988,0.004127008051000303,6.492599841486864
17006,synthetic3d-017006,easy,1,0.0,False,True,True,0.14145193099975586,0.0,0.0,1,add_beam,acceptable,0.1241374142409768,0.07538483987445943,0.6467158973569016
17007,synthetic3d-017007,easy,1,0.0,False,True,True,0.15377168655395507,0.0,0.0,1,increase_hotspot_priority,acceptable,0.025062836170945957,0.0030337601538121817,7.261311013480198
17008,synthetic3d-017008,easy,1,0.0,False,True,True,0.16650142669677734,0.0,0.0,1,increase_hotspot_priority,acceptable,0.04131342822802253,0.012773312153058214,2.2343551721728794
17009,synthetic3d-017009,easy,1,0.0,False,True,True,0.1759744644165039,0.0,0.0,1,increase_hotspot_priority,acceptable,0.0274854437338945,0.0049752669622193935,4.524415864035092
17010,synthetic3d-017010,moderate,2,0.0449438202247191,False,True,True,0.16212196358050446,0.0,0.0,1,increase_oar_priority,acceptable,0.24117798431689152,0.240833892057708,0.0014287534708822276
17011,synthetic3d-017011,moderate,2,0.0,False,True,True,0.25076588659272186,0.0,0.0,7,add_beam|remove_beam|increase_oar_priority|increase_hotspot_priority|add_beam|increase_hotspot_priority|add_beam,acceptable,0.282039885642007,0.21636174875311553,0.303557062500151
17012,synthetic3d-017012,moderate,2,0.0,False,True,True,0.12042039757186085,0.0,0.0,2,increase_oar_priority|increase_oar_priority,acceptable,0.23241040071297903,0.10482495461474173,1.2171285603427746
17013,synthetic3d-017013,moderate,2,0.0,False,True,True,0.05307121811070448,0.0,0.0,3,remove_beam|add_beam|increase_oar_priority,acceptable,0.20971279067452997,0.2683155407430604,-0.21840982414301738
17014,synthetic3d-017014,moderate,2,0.0,False,True,True,0.005129723807858033,0.0,0.0,1,increase_oar_priority,acceptable,0.07496583434203785,0.026116481676581316,1.8704415575724282
17015,synthetic3d-017015,moderate,2,0.0,False,True,True,0.013641834259033203,0.0,0.0,1,remove_beam,acceptable,0.2345725760096684,0.07256572571350262,2.232553298450931
17016,synthetic3d-017016,moderate,2,0.0,False,True,True,0.08829736709594727,0.0,0.0,9,add_beam|increase_oar_priority|increase_hotspot_priority|increase_hotspot_priority|increase_oar_priority|remove_beam|remove_beam|add_beam|remove_beam,acceptable,0.2751330218870862,0.4209385214926442,-0.3463819350353895
17017,synthetic3d-017017,moderate,2,0.0,False,True,True,0.21117460885610861,0.0,0.0,1,add_beam,acceptable,0.2415835382998921,0.08184130099834874,1.951853591681862
17018,synthetic3d-017018,moderate,2,0.0,False,True,True,0.17998676110958373,0.0,0.0,2,add_beam|increase_oar_priority,acceptable,0.22188297487446107,0.10170126071898267,1.1817131204259137
17019,synthetic3d-017019,moderate,2,0.07142857142857142,False,True,True,0.5137720657227913,0.0,0.0,11,increase_oar_priority|increase_oar_priority|add_beam|add_beam|add_beam|increase_hotspot_priority|add_beam|add_beam|add_beam|remove_beam|remove_beam,acceptable,0.5254667275585234,1.0322262847330421,-0.4909384353698943
17020,synthetic3d-017020,hard,3,0.20535714285714285,False,False,False,1.5679235566299696,0.27517541475526974,0.26432039384613204,12,add_beam|add_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|remove_beam|add_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority,search_step_limit,1.603020429611206,1.8614181876182556,-0.13881768198347616
17021,synthetic3d-017021,hard,3,0.060240963855421686,False,False,False,1.4158527211508096,0.2906204468189876,0.28923822703678675,12,add_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|add_beam|increase_oar_priority,search_step_limit,1.445188238285482,1.5026624663732946,-0.03824826225048919
17022,synthetic3d-017022,hard,3,0.04225352112676056,False,True,True,0.2908845822388474,0.0,0.0,8,add_beam|add_beam|increase_oar_priority|remove_beam|increase_hotspot_priority|increase_oar_priority|add_beam|increase_hotspot_priority,acceptable,0.446838018251583,0.5098300648387522,-0.12355498612482209
17023,synthetic3d-017023,hard,3,0.06451612903225806,False,False,False,1.2170306835344558,0.027086318440337858,0.06838842560263239,12,increase_oar_priority|add_beam|increase_oar_priority|increase_oar_priority|add_beam|increase_oar_priority|add_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|add_beam|add_beam,search_step_limit,1.026986567885615,1.3432944694068283,-0.23547175152212793
