seed,case_id,difficulty,n_oars,target_oar_overlap_fraction,initial_acceptable,search_acceptable,reference_acceptable,initial_violation,search_violation,reference_violation,manual_actions,actions,stopping_reason,search_objective,reference_objective,canonical_objective_gap
17000,synthetic3d-017000,easy,1,0.0,False,True,True,0.4602869949821132,0.0,0.0,1,increase_hotspot_priority,acceptable,0.010696904155338416,0.0012950828832458683,7.2596290119507625
17001,synthetic3d-017001,easy,1,0.0,False,True,True,0.28473329544067383,0.0,0.0,1,increase_hotspot_priority,acceptable,0.07371359323769866,0.00739984307983832,8.961507621498
17002,synthetic3d-017002,easy,1,0.0,False,True,True,0.36899776458740235,0.0,0.0,1,increase_hotspot_priority,acceptable,0.01587190008649486,0.0005570668236032361,27.491914100774782
17003,synthetic3d-017003,easy,1,0.0,False,True,True,0.4665839185154509,0.0,0.0,1,increase_hotspot_priority,acceptable,0.11731654652976431,0.02391198187979171,3.906182478705785
17004,synthetic3d-017004,easy,1,0.0,False,True,True,0.36601015124054614,0.0,0.0,1,increase_hotspot_priority,acceptable,0.06530552447657101,0.003723450672623585,16.53897935501748
17005,synthetic3d-017005,easy,1,0.0,False,True,True,0.6202654618892863,0.0,0.0,1,increase_hotspot_priority,acceptable,0.05723234047763981,0.0039057654316820845,13.6532968962736
17006,synthetic3d-017006,easy,1,0.0,False,True,True,0.5527143863727306,0.0,0.0,1,remove_beam,acceptable,0.1401192481716862,0.08978429366379714,0.5606209332822889
17007,synthetic3d-017007,easy,1,0.0,False,True,True,0.3872577114476949,0.0,0.0,1,increase_hotspot_priority,acceptable,0.03091585953370668,0.004813047669358639,5.4233437226326835
17008,synthetic3d-017008,easy,1,0.0,False,True,True,0.5093334698057358,0.0,0.0,1,increase_hotspot_priority,acceptable,0.059600286913337186,0.01818472154269557,2.2774924143546977
17009,synthetic3d-017009,easy,1,0.0,False,True,True,0.4781336150192207,0.0,0.0,1,increase_hotspot_priority,acceptable,0.044052142911823466,0.012998782694921829,2.388943714632071
17010,synthetic3d-017010,moderate,2,0.0449438202247191,False,True,True,0.3694431599810679,0.0,0.0,1,increase_oar_priority,acceptable,0.24298340860696044,0.24621805692731868,-0.01313733184610861
17011,synthetic3d-017011,moderate,2,0.0,False,False,True,0.410584461859771,0.012710013168122813,0.0,5,add_beam|increase_oar_priority|increase_oar_priority|increase_hotspot_priority|increase_hotspot_priority,search_step_limit,0.3189230593852699,0.38040008017560467,-0.1616114822109266
17012,synthetic3d-017012,moderate,2,0.0,False,True,True,0.45207644316689133,0.0,0.0,2,add_beam|increase_oar_priority,acceptable,0.1840251289414141,0.10897373940679245,0.6887107842969332
17013,synthetic3d-017013,moderate,2,0.0,False,True,True,0.12951933824672945,0.0,0.0,2,increase_oar_priority|increase_oar_priority,acceptable,0.28079406591132283,0.31237842864356935,-0.10110929512448816
17014,synthetic3d-017014,moderate,2,0.0,False,True,True,0.481668232679589,0.0,0.0,1,increase_hotspot_priority,acceptable,0.09844136884566979,0.02763700583273021,2.561940444687634
17015,synthetic3d-017015,moderate,2,0.0,False,True,True,0.26085195257881055,0.0,0.0,1,remove_beam,acceptable,0.25604984315577894,0.0858871714444831,1.981235018564884
