condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss
endpoint,0,1,0.6585550308227539,0.75,0.043944964656553065,4.75,0.20131856203079224,-5.617537021636963,0.0
endpoint,0,2,0.6067400574684143,0.75,0.11075994981016081,3.25,0.20123891532421112,-6.471377849578857,0.0
endpoint,0,3,0.6203916668891907,0.75,0.09210834451373928,3.75,0.20190688967704773,-4.856945037841797,0.0
endpoint,0,4,0.0742427408695221,0.5,0.3682572618040778,5.75,0.19975043833255768,-9.019792556762695,0.0
endpoint,0,5,0.9850000143051147,1.0,0.0,1.5,0.1983424425125122,-0.01572805643081665,0.0
endpoint,0,6,0.38076525926589966,0.5,0.06423473186116824,5.5,0.20079250633716583,-6.057276725769043,0.0
endpoint,0,7,0.7059354186058044,0.75,0.009064570975471642,3.5,0.2082609385251999,-4.276360511779785,0.0
endpoint,0,8,0.547387957572937,0.75,0.13011202412382217,7.25,0.21879974007606506,-3.3964438438415527,0.0
endpoint,0,9,0.18456918001174927,0.5,0.2604308435609217,5.5,0.22513505816459656,-10.818326950073242,0.0
endpoint,0,10,0.9900000095367432,1.0,0.0,1.0,0.22266462445259094,0.0,0.0
endpoint,0,11,0.618549644947052,0.75,0.0864503506295623,4.5,0.2161201685667038,-6.674117565155029,0.0
endpoint,0,12,0.6571547389030457,0.75,0.04534530020498001,4.75,0.20558857917785645,-5.062187194824219,0.0
endpoint,0,13,0.36014991998672485,0.5,0.08485008757256919,5.5,0.19947375357151031,-8.062347412109375,0.0
endpoint,0,14,0.3560994863510132,0.5,0.08390053718934229,6.0,0.20084425806999207,-6.704023838043213,0.0
endpoint,0,15,0.2803688049316406,0.5,0.1571311941930651,6.25,0.2074919492006302,-8.931370735168457,0.0
trajectory,0,1,0.6819929480552673,0.75,0.02050706274359171,4.75,0.18489935994148254,-2.6335763931274414,1.553715705871582
trajectory,0,2,0.687522292137146,0.75,0.02997767925262451,3.25,0.18601256608963013,-3.5738718509674072,1.5634046792984009
trajectory,0,3,0.6630789041519165,0.75,0.04692108826025147,4.0,0.1841544806957245,-3.7407896518707275,1.5752440690994263
trajectory,0,4,0.3733018636703491,0.5,0.0716981413695647,5.5,0.18376296758651733,-6.113330364227295,1.6068977117538452
trajectory,0,5,0.9850000143051147,1.0,0.0,1.5,0.18442310392856598,-0.004568768665194511,1.6291979551315308
trajectory,0,6,0.9500000476837158,1.0,0.0,5.0,0.18455801904201508,-0.31467241048812866,1.6539771556854248
trajectory,0,7,0.9725000262260437,1.0,0.0,2.75,0.18390268087387085,-0.054572366178035736,1.6735373735427856
trajectory,0,8,0.6897760033607483,0.75,0.017724019382398648,4.25,0.18239036202430725,-2.9904983043670654,1.6763699054718018
trajectory,0,9,0.9624999761581421,1.0,0.0,3.75,0.18045251071453094,-0.17140482366085052,1.6656397581100464
trajectory,0,10,0.9900000095367432,1.0,0.0,1.0,0.179594025015831,0.0,1.661078691482544
trajectory,0,11,0.7139589786529541,0.75,0.0035410337028745076,3.25,0.18015068769454956,-5.112250328063965,1.6535375118255615
trajectory,0,12,0.9625000357627869,1.0,0.0,3.75,0.1799999475479126,-0.14548584818840027,1.6666964292526245
trajectory,0,13,0.9625000357627869,1.0,0.0,3.75,0.17889569699764252,-0.18134915828704834,1.6632195711135864
trajectory,0,14,0.6813780665397644,0.75,0.013621973991394042,5.5,0.17734333872795105,-2.9842729568481445,1.6549822092056274
trajectory,0,15,0.6793441772460938,0.75,0.02565584929471736,4.5,0.17603546380996704,-2.7581753730773926,1.654292345046997
