environment_version,seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
0.2,10000,True,synthetic-010000,moderate,7,acceptable,True,20.0,0.17752579371871338,0.9911237103140642,0.8684888768513753,1.0898759556813231,0.865328770907774
0.2,10001,True,synthetic-010001,easy,10,acceptable,True,20.0,0.12992216608590804,0.9935038916957046,0.888375520245411,1.1738506075157604,0.9615531381509782
0.2,10002,True,synthetic-010002,easy,9,acceptable,True,20.0,0.21577102981298044,0.9892114485093509,0.8653407991244584,1.2316807389445887,0.9259268061848253
0.2,10003,True,synthetic-010003,easy,54,converged,False,20.0,0.22562335774115083,0.9887188321129425,0.7820244192707063,1.2008219799110447,1.0867357801283215
0.2,10004,True,synthetic-010004,moderate,18,acceptable,True,20.0,0.1340238621013963,0.9932988068949301,0.8662253269894337,1.2374905798203786,0.970994447242411
0.2,10005,True,synthetic-010005,moderate,62,converged,False,20.0,0.16378551457575552,0.9918107242712122,0.842244866890108,1.2568566423792429,0.7818314780401912
0.2,10006,True,synthetic-010006,moderate,37,converged,False,20.0,0.22572131565430958,0.9887139342172846,0.8318811063441321,1.2420622336494467,0.9463420135587538
0.2,10007,True,synthetic-010007,moderate,45,converged,False,20.0,0.3259472936601855,0.9837026353169908,0.7828896490219659,1.3404717760716691,1.1298191671386955
0.2,10008,True,synthetic-010008,moderate,36,converged,False,20.0,0.23132555933699786,0.98843372203315,0.8375520916263728,1.1677276706983073,1.0628502043657586
0.2,10009,True,synthetic-010009,moderate,29,converged,False,20.0,0.2319171839969084,0.9884041408001545,0.8332423811146757,1.1288704532399036,1.0466315342245043
0.2,10010,True,synthetic-010010,moderate,70,step_limit,False,20.0,0.32986576644905197,0.9835067116775473,0.7691903124282427,1.3002364562094382,0.9494881191589022
0.2,10011,True,synthetic-010011,moderate,45,converged,False,20.0,0.30845771217609613,0.9845771143911952,0.8131947219567374,1.1592163067269792,1.072534418540266
0.2,10012,True,synthetic-010012,moderate,26,converged,False,20.0,0.2012461403439465,0.9899376929828027,0.8385823311216383,1.1918162526383516,1.0137970133413918
0.2,10013,True,synthetic-010013,easy,10,acceptable,True,20.0,0.20841156864929777,0.9895794215675352,0.8712260392237507,1.1183774243421096,0.9312821893480008
0.2,10014,True,synthetic-010014,moderate,46,converged,False,20.0,0.18415264775873627,0.9907923676120631,0.8220181242002088,1.2480959258685478,0.9024015945048045
0.2,10015,True,synthetic-010015,moderate,8,acceptable,True,20.0,0.19005768649630975,0.9904971156751845,0.8777208553692907,1.225736914904136,0.9287507294406264
0.2,10016,True,synthetic-010016,moderate,40,converged,False,20.0,0.2674764142626605,0.986626179286867,0.8339506096141979,1.1659656828678535,1.0042584298348178
0.2,10017,True,synthetic-010017,moderate,16,acceptable,True,20.0,0.13411198799459345,0.9932944006002703,0.8520999939473514,1.2125258356273103,0.742541733802214
0.2,10018,True,synthetic-010018,moderate,23,acceptable,True,20.0,0.18711083062338638,0.9906444584688308,0.8550517077880947,1.1944945497950348,0.989247639513826
0.2,10019,True,synthetic-010019,easy,12,acceptable,True,20.0,0.20174435850803313,0.9899127820745983,0.8551963914659069,1.0706344340596061,0.9638187907816725
0.2,10020,True,synthetic-010020,easy,70,step_limit,False,20.0,0.17993635028340213,0.9910031824858299,0.8331518862896325,1.2694498628042596,0.9485142989696566
0.2,10021,True,synthetic-010021,moderate,44,converged,False,20.0,0.27314022829555284,0.9863429885852224,0.8108997030867319,1.2342843779103798,1.0891475253053067
0.2,10022,True,synthetic-010022,moderate,28,acceptable,True,20.0,0.1670866141270166,0.9916456692936493,0.8559481193751914,1.2061961644336852,0.9867468520134143
0.2,10023,True,synthetic-010023,moderate,13,acceptable,True,20.0,0.11326947834837764,0.994336526082581,0.8508717920624923,1.234207093440855,0.8488818048040555
0.2,10024,True,synthetic-010024,easy,33,converged,False,20.0,0.14451587946479588,0.9927742060267603,0.8380881105823956,1.2903084882447973,0.7723369558932682
0.2,10025,True,synthetic-010025,easy,69,converged,False,20.0,0.30592278302772097,0.9847038608486139,0.7912496742223734,1.3167708978105104,1.1424856815427216
0.2,10026,True,synthetic-010026,moderate,46,converged,False,20.0,0.15236326861369703,0.9923818365693151,0.8327454279993258,1.2293163416135324,0.9440112178798943
0.2,10027,True,synthetic-010027,easy,33,converged,False,20.0,0.18155226646690106,0.9909223866766549,0.8520124553815865,1.3134430335628995,0.8484313110707897
0.2,10028,True,synthetic-010028,moderate,46,converged,False,20.0,0.16754206863576235,0.9916228965682119,0.8466741272545799,1.2246884251374923,1.0106136063849203
0.2,10029,True,synthetic-010029,moderate,70,step_limit,False,20.0,0.2150809151255337,0.9892459542437233,0.812995440328585,1.3028804132933827,1.0267693402701148
0.2,10030,True,synthetic-010030,moderate,70,step_limit,False,20.0,0.3094633990444691,0.9845268300477766,0.7447755926533124,1.2699830234483822,1.071302712497473
0.2,10031,True,synthetic-010031,moderate,47,converged,False,20.0,0.18378051025531988,0.990810974487234,0.8276995813489298,1.2515184212589279,0.9837758809788193
0.2,10032,True,synthetic-010032,moderate,70,step_limit,False,20.0,0.3043291732892524,0.9847835413355372,0.7820623185702679,1.2935380366632374,1.0714665073135485
0.2,10033,True,synthetic-010033,moderate,23,acceptable,True,20.0,0.1502104759433955,0.9924894762028302,0.8522351614734393,1.234710002358761,0.8615818101278553
