environment_version,seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
0.4,10000,True,synthetic-010000,moderate,21,converged,False,48.9,0.22523757215165496,0.9953939146799252,0.8560130198976744,1.1589695143375363,1.0244069773204187
0.4,10001,True,synthetic-010001,easy,16,converged,False,48.9,0.15660228703387663,0.996797499242661,0.8584758278150671,1.1258289105181487,1.0120323754902805
0.4,10002,True,synthetic-010002,easy,16,acceptable,True,48.9,0.2652882693062011,0.994574882018278,0.8505123435829622,1.165325489496223,0.9958556426946266
0.4,10003,True,synthetic-010003,easy,70,step_limit,False,48.9,0.2731892459126231,0.9944133078545475,0.8284656012492493,1.2778968644040474,1.0456715464488946
0.4,10004,True,synthetic-010004,moderate,34,converged,False,48.9,0.1842237723026457,0.9962326426931974,0.8449929740378022,1.3304995900423429,1.0198745696854805
0.4,10005,True,synthetic-010005,moderate,16,converged,False,48.9,0.43771596556649545,0.9910487532603989,0.8129728792901851,1.2899517698405691,1.0777066971727538
0.4,10006,True,synthetic-010006,moderate,33,converged,False,48.9,0.2814057181671846,0.9942452818370718,0.8453318610195237,1.2463469105908216,1.0216949802408692
0.4,10007,True,synthetic-010007,moderate,24,converged,False,48.9,0.45142243539648025,0.9907684573538552,0.8249852762041356,1.4688356678066103,1.0516031421332905
0.4,10008,True,synthetic-010008,moderate,14,converged,False,48.9,0.24022394599445634,0.995087444867189,0.8431874023526722,1.1688520936579891,1.0306496102856388
0.4,10009,True,synthetic-010009,moderate,24,converged,False,48.9,0.3420771554711244,0.9930045571478298,0.8267097649043285,1.1256446877606172,1.0700632867970716
0.4,10010,True,synthetic-010010,moderate,70,step_limit,False,48.9,0.44917889555796053,0.990814337514152,0.8193218973947805,1.4224555367253926,1.017690699556801
0.4,10011,True,synthetic-010011,moderate,10,converged,False,48.9,0.7301319266049129,0.9850688767565458,0.7889200610769386,1.1619580704404628,1.1172475520768663
0.4,10012,True,synthetic-010012,moderate,55,converged,False,48.9,0.32540833133589503,0.9933454328970165,0.8255144567844701,1.1907636590523207,1.0641804365887664
0.4,10013,True,synthetic-010013,easy,8,acceptable,True,48.9,0.1966055553123333,0.9959794364966803,0.9240668810560159,1.1670168648204453,0.98023930126328
0.4,10014,True,synthetic-010014,moderate,25,converged,False,48.9,0.3718164624479261,0.9923963913609831,0.8317250265744056,1.4458028845877817,0.9927680548645372
0.4,10015,True,synthetic-010015,moderate,7,acceptable,True,48.9,0.19274766678258717,0.9960583299226465,0.8896803841007878,1.1991211713937873,0.9279184869432565
0.4,10016,True,synthetic-010016,moderate,17,converged,False,48.9,0.3077237929735616,0.9937070798982912,0.8343894583527243,1.1876033481412516,1.0094690119593015
0.4,10017,True,synthetic-010017,moderate,9,acceptable,True,48.9,0.15880677855523112,0.9967524176164574,0.8520382470965067,1.2193499535117882,0.9568814656992808
0.4,10018,True,synthetic-010018,moderate,38,converged,False,48.9,0.16507796964952487,0.9966241723998053,0.848270773873893,1.1717149811473313,0.9405377998184088
0.4,10019,True,synthetic-010019,easy,15,acceptable,True,48.9,0.12292571176262289,0.9974861817635455,0.860225815300245,1.0822306850915446,0.9888505747904343
0.4,10020,True,synthetic-010020,easy,35,acceptable,True,48.9,0.18050084177322817,0.9963087762418562,0.8500965654357528,1.2473760084005971,0.9860841357693695
0.4,10021,True,synthetic-010021,moderate,16,converged,False,48.9,0.5123618149968479,0.989522253272048,0.8006864196359303,1.2862872931100098,1.0570799200396968
0.4,10022,True,synthetic-010022,moderate,11,acceptable,True,48.9,0.17250658158662088,0.9964722580452634,0.8603491585086361,1.2342071805229855,0.997310155258706
0.4,10023,True,synthetic-010023,moderate,11,acceptable,True,48.9,0.13424957645291147,0.9972546098884886,0.8611274013032159,1.2387145875292753,0.7694621874467958
0.4,10024,True,synthetic-010024,easy,9,acceptable,True,48.9,0.1571369451293667,0.9967865655392768,0.8658198483691227,1.241099542205417,0.9691032038969698
0.4,10025,True,synthetic-010025,easy,16,converged,False,48.9,0.7214194366806437,0.9852470462846494,0.7940581322780897,1.5730420838312549,1.0459728200058525
0.4,10026,True,synthetic-010026,moderate,44,converged,False,48.9,0.16680384901760867,0.9965888783431981,0.8559422198022207,1.2869622597586892,0.9147013369577245
0.4,10027,True,synthetic-010027,easy,39,converged,False,48.9,0.1927174840714775,0.9960589471560024,0.8487460280173781,1.3495383443896822,0.9731619440820147
0.4,10028,True,synthetic-010028,moderate,8,acceptable,True,48.9,0.1731152838252494,0.9964598101467229,0.8523891566980678,1.2290546256855293,0.8854119024728263
0.4,10029,True,synthetic-010029,moderate,36,converged,False,48.9,0.420740933752021,0.9913958909253165,0.8238844754332897,1.4082342401796348,1.1102132093232273
