valid,environment_version,seed,case_id,difficulty,acceptable,stopping_reason,manual_actions,action_types,action_descriptions,initial_target_d95,final_target_d95,initial_target_d02,final_target_d02,initial_worst_oar_ratio,final_worst_oar_ratio,final_beam_angles
True,0.6-manual,10000,synthetic-010000,moderate,False,manual_step_limit,8,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_oar_priority|increase_target_priority|remove_beam|increase_oar_priority|add_beam,Increase OAR 2 priority 1.00 -> 1.75|Increase OAR 2 priority 1.75 -> 3.06|Increase target priority 1.00 -> 1.75|Increase OAR 1 priority 1.00 -> 1.75|Increase target priority 1.75 -> 3.06|Remove 0° beam to reduce OAR 2 exposure|Increase OAR 1 priority 1.75 -> 3.06|Add 240° beam for another target approach,0.8235533061061929,0.829608097992031,1.1804580368429545,1.0287991673684254,1.087552699644143,1.0462060975721326,90|180|240|270
True,0.6-manual,10001,synthetic-010001,easy,False,manual_step_limit,8,increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority|increase_target_priority|remove_beam|increase_oar_priority|add_beam,Increase OAR 2 priority 1.00 -> 1.75|Increase target priority 1.00 -> 1.75|Increase OAR 2 priority 1.75 -> 3.06|Increase OAR 1 priority 1.00 -> 1.75|Increase target priority 1.75 -> 3.06|Remove 180° beam to reduce OAR 2 exposure|Increase OAR 1 priority 1.75 -> 3.06|Add 60° beam for another target approach,0.8372800711170175,0.8449634180363751,1.1347789736241813,1.1285075876050166,1.0443079913346123,1.0153438792610556,0|60|90|270
True,0.6-manual,10002,synthetic-010002,easy,True,acceptable,1,increase_oar_priority,Increase OAR 2 priority 1.00 -> 1.75,0.8654368524906643,0.8510155327263349,1.1778586720989073,1.1945296732200341,1.000325233544951,0.9293188617824937,0|90|180|270
True,0.6-manual,10003,synthetic-010003,easy,False,manual_step_limit,8,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_target_priority|add_beam|add_beam|remove_beam|remove_beam,Increase OAR 1 priority 1.00 -> 1.75|Increase OAR 1 priority 1.75 -> 3.06|Increase target priority 1.00 -> 1.75|Increase target priority 1.75 -> 3.06|Add 120° beam for another target approach|Add 150° beam for another target approach|Remove 270° beam to reduce OAR 1 exposure|Remove 0° beam to reduce OAR 1 exposure,0.7720637119804046,0.7893178678210323,1.2542731944650787,1.2670347894552838,1.128909400423449,1.1691645573249523,90|120|150|180
True,0.6-manual,10004,synthetic-010004,moderate,True,acceptable,0,,,0.8606914126017938,0.8606914126017938,1.2490989997193684,1.2490989997193684,0.9375447458460876,0.9375447458460876,0|90|180|270
True,0.6-manual,10005,synthetic-010005,moderate,True,acceptable,2,increase_hotspot_priority|increase_target_priority,Increase target hot-spot priority 1.00 -> 1.75|Increase target priority 1.00 -> 1.75,0.8475949543925929,0.857516742037725,1.2614628421285903,1.2373423271677306,0.8364574186850416,0.9031010026216987,0|90|180|270
True,0.6-manual,10006,synthetic-010006,moderate,False,manual_step_limit,8,increase_oar_priority|increase_target_priority|increase_oar_priority|remove_beam|increase_oar_priority|increase_oar_priority|increase_target_priority|add_beam,Increase OAR 2 priority 1.00 -> 1.75|Increase target priority 1.00 -> 1.75|Increase OAR 2 priority 1.75 -> 3.06|Remove 0° beam to reduce OAR 2 exposure|Increase OAR 1 priority 1.00 -> 1.75|Increase OAR 1 priority 1.75 -> 3.06|Increase target priority 1.75 -> 3.06|Add 120° beam for another target approach,0.8139336846014655,0.8172957213943433,1.1922656002191685,1.2252112782633977,1.0852053338476177,1.066514978237106,90|120|180|270
True,0.6-manual,10007,synthetic-010007,moderate,False,manual_step_limit,8,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_target_priority|remove_beam|increase_oar_priority|add_beam|remove_beam,Increase OAR 1 priority 1.00 -> 1.75|Increase OAR 1 priority 1.75 -> 3.06|Increase target priority 1.00 -> 1.75|Increase target priority 1.75 -> 3.06|Remove 90° beam to reduce OAR 1 exposure|Increase OAR 2 priority 1.00 -> 1.75|Add 300° beam for another target approach|Remove 180° beam to reduce OAR 1 exposure,0.7579783981194285,0.8103296866023307,1.2692889467628534,1.3012902010229324,1.1616200341856162,1.0910257615828176,0|270|300
True,0.6-manual,10008,synthetic-010008,moderate,False,manual_step_limit,8,increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_target_priority|increase_oar_priority|remove_beam|increase_target_priority|add_beam,Increase OAR 2 priority 1.00 -> 1.75|Increase OAR 1 priority 1.00 -> 1.75|Increase OAR 1 priority 1.75 -> 3.06|Increase target priority 1.00 -> 1.75|Increase OAR 2 priority 1.75 -> 3.06|Remove 270° beam to reduce OAR 2 exposure|Increase target priority 1.75 -> 3.06|Add 120° beam for another target approach,0.8278706312456899,0.8421646493658543,1.0001969788967264,1.0469153172820125,1.0765133748232023,1.0647011375174515,0|90|120|180
True,0.6-manual,10009,synthetic-010009,moderate,False,manual_step_limit,8,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority|remove_beam|increase_target_priority|add_beam,Increase OAR 1 priority 1.00 -> 1.75|Increase OAR 1 priority 1.75 -> 3.06|Increase target priority 1.00 -> 1.75|Increase OAR 2 priority 1.00 -> 1.75|Increase OAR 2 priority 1.75 -> 3.06|Remove 0° beam to reduce OAR 1 exposure|Increase target priority 1.75 -> 3.06|Add 210° beam for another target approach,0.7944920357526404,0.818436138320697,1.0968782744764187,1.118794793502194,1.0893004621297306,1.0790032454686427,90|180|210|270
True,0.6-manual,10010,synthetic-010010,moderate,False,manual_step_limit,8,increase_target_priority|increase_oar_priority|increase_oar_priority|increase_target_priority|add_beam|increase_oar_priority|increase_oar_priority|add_beam,Increase target priority 1.00 -> 1.75|Increase OAR 1 priority 1.00 -> 1.75|Increase OAR 1 priority 1.75 -> 3.06|Increase target priority 1.75 -> 3.06|Add 150° beam for another target approach|Increase OAR 2 priority 1.00 -> 1.75|Increase OAR 2 priority 1.75 -> 3.06|Add 210° beam for another target approach,0.772757634962408,0.7944577642965623,1.2957581623577845,1.2680803427556755,1.0464847523750087,1.0560277195520076,0|90|150|180|210|270
True,0.6-manual,10011,synthetic-010011,moderate,False,manual_step_limit,8,increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|remove_beam|increase_target_priority|add_beam,Increase OAR 2 priority 1.00 -> 1.75|Increase target priority 1.00 -> 1.75|Increase OAR 2 priority 1.75 -> 3.06|Increase OAR 1 priority 1.00 -> 1.75|Increase OAR 1 priority 1.75 -> 3.06|Remove 90° beam to reduce OAR 1 exposure|Increase target priority 1.75 -> 3.06|Add 300° beam for another target approach,0.7880976203875528,0.7987794763608477,1.090747973350675,1.0812534175135176,1.120408774311942,1.1055148541897717,0|180|270|300
True,0.6-manual,10012,synthetic-010012,moderate,True,acceptable,1,increase_oar_priority,Increase OAR 1 priority 1.00 -> 1.75,0.8513514859941519,0.8503814305089425,1.2499779391062875,1.2498459138017661,1.0006106073432046,0.9510584342094387,0|90|180|270
True,0.6-manual,10013,synthetic-010013,easy,True,acceptable,0,,,0.8642462674870184,0.8642462674870184,1.1637807581944075,1.1637807581944075,0.80461456480386,0.80461456480386,0|90|180|270
