valid,environment_version,seed,case_id,outcome,initial_violation,manual_violation,oracle_violation,manual_acceptable,oracle_reachable,manual_actions,oracle_actions,manual_stopping_reason,oracle_stopping_reason,manual_action_types,oracle_action_types
True,0.6-manual,10000,synthetic-010000,oracle_only,0.008633541122123162,0.003142197503751076,0.0,False,True,8,5,manual_step_limit,acceptable,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_oar_priority|increase_target_priority|remove_beam|increase_oar_priority|add_beam,increase_oar_priority|remove_beam|add_beam|remove_beam|increase_target_priority
True,0.6-manual,10001,synthetic-010001,oracle_only,0.0025363038846444104,0.00044578018941904794,0.0,False,True,8,4,manual_step_limit,acceptable,increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority|increase_target_priority|remove_beam|increase_oar_priority|add_beam,remove_beam|add_beam|remove_beam|increase_oar_priority
True,0.6-manual,10002,synthetic-010002,both_reach,1.0577685876137985e-07,0.0,0.0,True,True,1,1,acceptable,acceptable,increase_oar_priority,remove_beam
True,0.6-manual,10003,synthetic-010003,neither_reaches,0.025036330406892696,0.0356986602528312,0.009950194628391348,False,False,8,1,manual_step_limit,oracle_local_minimum,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_target_priority|add_beam|add_beam|remove_beam|remove_beam,remove_beam
True,0.6-manual,10004,synthetic-010004,both_reach,0.0,0.0,0.0,True,True,0,1,acceptable,acceptable,,add_beam
True,0.6-manual,10005,synthetic-010005,both_reach,9.209979435127563e-05,0.0,0.0,True,True,2,4,acceptable,acceptable,increase_hotspot_priority|increase_target_priority,add_beam|add_beam|remove_beam|increase_target_priority
True,0.6-manual,10006,synthetic-010006,neither_reaches,0.015416356728839453,0.007977525432876505,0.0008555782715673901,False,False,8,8,manual_step_limit,oracle_step_limit,increase_oar_priority|increase_target_priority|increase_oar_priority|remove_beam|increase_oar_priority|increase_oar_priority|increase_target_priority|add_beam,remove_beam|add_beam|remove_beam|increase_oar_priority|add_beam|increase_hotspot_priority|increase_oar_priority|increase_hotspot_priority
True,0.6-manual,10007,synthetic-010007,neither_reaches,0.03838545443453691,0.01227634847780507,0.017681654962630647,False,False,8,5,manual_step_limit,oracle_local_minimum,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_target_priority|remove_beam|increase_oar_priority|add_beam|remove_beam,remove_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority
True,0.6-manual,10008,synthetic-010008,neither_reaches,0.011852166615953431,0.006121477228447347,0.004878989014474647,False,False,8,7,manual_step_limit,oracle_local_minimum,increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_target_priority|increase_oar_priority|remove_beam|increase_target_priority|add_beam,remove_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|add_beam|remove_beam
True,0.6-manual,10009,synthetic-010009,neither_reaches,0.012718833557574947,0.009061709136146658,0.0010558604117302268,False,False,8,6,manual_step_limit,oracle_local_minimum,increase_oar_priority|increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority|remove_beam|increase_target_priority|add_beam,add_beam|add_beam|remove_beam|increase_target_priority|increase_target_priority|increase_oar_priority
True,0.6-manual,10010,synthetic-010010,neither_reaches,0.012505148383609213,0.008869441174195995,0.0034383617460098815,False,False,8,8,manual_step_limit,oracle_step_limit,increase_target_priority|increase_oar_priority|increase_oar_priority|increase_target_priority|add_beam|increase_oar_priority|increase_oar_priority|add_beam,increase_oar_priority|remove_beam|add_beam|increase_target_priority|add_beam|add_beam|remove_beam|increase_oar_priority
True,0.6-manual,10011,synthetic-010011,neither_reaches,0.026998415963035483,0.02300645135869709,0.011125241564462294,False,False,8,7,manual_step_limit,oracle_local_minimum,increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|remove_beam|increase_target_priority|add_beam,increase_oar_priority|remove_beam|increase_oar_priority|add_beam|remove_beam|increase_oar_priority|increase_oar_priority
