valid,environment_version,seed,case_id,outcome,initial_violation,manual_violation,oracle_violation,manual_acceptable,oracle_reachable,manual_actions,oracle_actions,manual_stopping_reason,oracle_stopping_reason,manual_action_types,oracle_action_types
True,0.6-manual,10000,synthetic-010000,oracle_only,0.008633541122123162,0.0026776558047362756,0.0,False,True,8,3,manual_step_limit,acceptable,increase_oar_priority|remove_beam|increase_target_priority|increase_oar_priority|add_beam|increase_oar_priority|increase_oar_priority|increase_target_priority,add_beam|remove_beam|remove_beam
True,0.6-manual,10001,synthetic-010001,oracle_only,0.0025363038846444104,0.00019794697012329255,0.0,False,True,8,2,manual_step_limit,acceptable,increase_oar_priority|increase_target_priority|remove_beam|increase_oar_priority|increase_oar_priority|add_beam|increase_oar_priority|increase_oar_priority,add_beam|add_beam
True,0.6-manual,10002,synthetic-010002,both_reach,1.0577685876137985e-07,0.0,0.0,True,True,1,1,acceptable,acceptable,increase_oar_priority,increase_oar_priority
True,0.6-manual,10003,synthetic-010003,neither_reaches,0.025036330406892696,0.010038534546993182,5.95230659119511e-09,False,False,8,8,manual_step_limit,oracle_step_limit,increase_oar_priority|remove_beam|increase_target_priority|add_beam|increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority,remove_beam|increase_oar_priority|add_beam|remove_beam|increase_target_priority|increase_oar_priority|increase_target_priority|increase_target_priority
True,0.6-manual,10004,synthetic-010004,both_reach,0.0,0.0,0.0,True,True,0,1,acceptable,acceptable,,increase_hotspot_priority
True,0.6-manual,10005,synthetic-010005,both_reach,9.209979435127563e-05,0.0,0.0,True,True,2,4,acceptable,acceptable,increase_hotspot_priority|increase_target_priority,add_beam|add_beam|remove_beam|increase_target_priority
True,0.6-manual,10006,synthetic-010006,neither_reaches,0.015416356728839453,0.006813795968479974,0.0007726037977431223,False,False,8,8,manual_step_limit,oracle_step_limit,increase_oar_priority|increase_target_priority|remove_beam|increase_oar_priority|increase_oar_priority|add_beam|increase_oar_priority|increase_oar_priority,remove_beam|add_beam|remove_beam|increase_oar_priority|increase_hotspot_priority|increase_oar_priority|increase_target_priority|add_beam
True,0.6-manual,10007,synthetic-010007,neither_reaches,0.03838545443453691,0.013743075005037235,0.017306922140670932,False,False,8,8,manual_step_limit,oracle_step_limit,increase_oar_priority|remove_beam|increase_target_priority|add_beam|increase_oar_priority|increase_target_priority|increase_oar_priority|increase_oar_priority,remove_beam|increase_oar_priority|increase_oar_priority|increase_oar_priority|increase_oar_priority|add_beam|remove_beam|increase_target_priority
True,0.6-manual,10008,synthetic-010008,oracle_only,0.011852166615953431,0.0021280155690564014,0.0,False,True,8,6,manual_step_limit,acceptable,increase_oar_priority|increase_oar_priority|remove_beam|add_beam|increase_oar_priority|increase_oar_priority|remove_beam|increase_oar_priority,increase_oar_priority|add_beam|remove_beam|add_beam|increase_target_priority|increase_oar_priority
True,0.6-manual,10009,synthetic-010009,neither_reaches,0.012718833557574947,0.01298708060254958,0.0010558604117302268,False,False,8,6,manual_step_limit,oracle_step_limit,increase_oar_priority|remove_beam|increase_oar_priority|increase_oar_priority|increase_target_priority|increase_oar_priority|add_beam|increase_target_priority,add_beam|add_beam|remove_beam|increase_target_priority|increase_target_priority|increase_oar_priority
True,0.6-manual,10010,synthetic-010010,neither_reaches,0.012505148383609213,0.0143294921377536,0.0034383617460098815,False,False,8,8,manual_step_limit,oracle_step_limit,increase_target_priority|increase_oar_priority|remove_beam|add_beam|increase_target_priority|increase_oar_priority|increase_target_priority|increase_oar_priority,increase_oar_priority|remove_beam|add_beam|increase_target_priority|add_beam|add_beam|remove_beam|increase_oar_priority
True,0.6-manual,10011,synthetic-010011,neither_reaches,0.026998415963035483,0.015293936889465683,0.0068749346996113915,False,False,8,8,manual_step_limit,oracle_step_limit,increase_oar_priority|increase_target_priority|remove_beam|increase_oar_priority|increase_oar_priority|add_beam|increase_target_priority|increase_oar_priority,increase_oar_priority|increase_oar_priority|add_beam|increase_oar_priority|remove_beam|remove_beam|increase_target_priority|increase_oar_priority
