training_seed,endpoint_acceptable_rate,trajectory_acceptable_rate,acceptable_rate_difference,endpoint_mean_violation,trajectory_mean_violation,violation_difference
0,0.6666666666666666,0.7833333333333333,0.11666666666666667,0.07932303126688386,0.03353179602070109,-0.04579123524618279
1,0.5833333333333334,0.65,0.06666666666666667,0.12046675454051171,0.05421449951913817,-0.06625225502137352
2,0.6333333333333333,0.7166666666666667,0.08333333333333333,0.10613302559488522,0.03933226892693198,-0.06680075666795325
3,0.6333333333333333,0.6166666666666667,-0.016666666666666666,0.1089461771811615,0.06579110252078714,-0.043155074660374354
4,0.5666666666666667,0.7,0.13333333333333333,0.1351291772764772,0.05460204539669056,-0.08052713187978665
5,0.5166666666666667,0.6333333333333333,0.11666666666666667,0.15994140986239536,0.06421337806494463,-0.09572803179745075
6,0.55,0.7,0.15,0.11680904535006052,0.051580481845178786,-0.06522856350488174
7,0.7,0.7166666666666667,0.016666666666666666,0.08054757477186035,0.036825243972117255,-0.043722330799743116
8,0.65,0.7,0.05,0.11856489039157046,0.06222513252809723,-0.05633975786347322
9,0.65,0.6666666666666666,0.016666666666666666,0.08876005747973494,0.0622663790840698,-0.026493678395665146
