training_seed,endpoint_acceptable_rate,trajectory_acceptable_rate,acceptable_rate_difference,endpoint_mean_violation,trajectory_mean_violation,violation_difference
0,0.6666666666666666,0.6333333333333333,-0.03333333333333333,0.07932303126688386,0.13549956687622772,0.05617653560934387
1,0.5833333333333334,0.6166666666666667,0.03333333333333333,0.12046675454051171,0.10295280694180813,-0.017513947598703575
2,0.6333333333333333,0.55,-0.08333333333333333,0.10613302559488522,0.07240903496596145,-0.03372399062892379
3,0.6333333333333333,0.5833333333333334,-0.05,0.1089461771811615,0.10033689327560438,-0.008609283905557104
4,0.5666666666666667,0.65,0.08333333333333333,0.1351291772764772,0.07244086900328968,-0.06268830827318754
5,0.5166666666666667,0.6333333333333333,0.11666666666666667,0.15994140986239536,0.07940754277162204,-0.08053386709077331
6,0.55,0.6166666666666667,0.06666666666666667,0.11680904535006052,0.07342588894247362,-0.04338315640758692
7,0.7,0.55,-0.15,0.08054757477186035,0.10102910051658527,0.020481525744724904
8,0.65,0.55,-0.1,0.11856489039157046,0.13736849741211096,0.018803607020540493
9,0.65,0.6666666666666666,0.016666666666666666,0.08876005747973494,0.10778857476795649,0.019028517288221556
