condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss
endpoint,5,1,0.9475000500679016,1.0,0.0,5.25,0.25520920753479004,-0.2227310985326767,0.0
endpoint,5,2,0.9675000309944153,1.0,0.0,3.25,0.25491946935653687,-0.13546955585479736,0.0
endpoint,5,3,0.5790958404541016,0.75,0.12340415034330257,4.75,0.2546166777610779,-6.039220809936523,0.0
endpoint,5,4,0.9524999856948853,1.0,0.0,4.75,0.2545875906944275,-0.18162721395492554,0.0
endpoint,5,5,0.9600000381469727,1.0,0.0,4.0,0.25471603870391846,-0.03034777194261551,0.0
endpoint,5,6,0.38050729036331177,0.5,0.019492713982860267,10.0,0.25486108660697937,-0.8795979022979736,0.0
endpoint,5,7,0.6182619333267212,0.75,0.0642380756636461,6.75,0.25559455156326294,-1.5790698528289795,0.0
endpoint,5,8,0.9550000429153442,1.0,0.0,4.5,0.2548799514770508,-0.04355841875076294,0.0
endpoint,5,9,0.9675000309944153,1.0,0.0,3.25,0.25442108511924744,-0.08061295747756958,0.0
endpoint,5,10,0.656609833240509,0.75,0.030890148133039474,6.25,0.2542029917240143,-3.356485366821289,0.0
endpoint,5,11,0.9725000262260437,1.0,0.0,2.75,0.2540893852710724,-0.02601310797035694,0.0
endpoint,5,12,0.7009526491165161,0.75,0.014047374102202304,3.5,0.254070520401001,-5.126596450805664,0.0
endpoint,5,13,0.6802469491958618,0.75,0.017253071069717407,5.25,0.25392284989356995,-3.417494535446167,0.0
endpoint,5,14,0.9675000309944153,1.0,0.0,3.25,0.2536081075668335,-0.038751035928726196,0.0
endpoint,5,15,0.31317275762557983,0.5,0.10182725382826013,8.5,0.2534996271133423,-3.4161055088043213,0.0
trajectory,5,1,0.9675000309944153,1.0,0.0,3.25,0.24178090691566467,-0.003147738054394722,1.783448338508606
trajectory,5,2,0.9800000190734863,1.0,0.0,2.0,0.2415260523557663,-0.02036019042134285,1.7765936851501465
trajectory,5,3,0.9650000333786011,1.0,0.0,3.5,0.2412644326686859,-0.07947224378585815,1.7701594829559326
trajectory,5,4,0.9650000333786011,1.0,0.0,3.5,0.24106885492801666,-0.044643521308898926,1.7655116319656372
trajectory,5,5,0.9725000262260437,1.0,0.0,2.75,0.24082137644290924,-0.004914332181215286,1.7608270645141602
trajectory,5,6,0.6932138204574585,0.75,0.004286215585820809,5.25,0.24053478240966797,-2.153407096862793,1.7545785903930664
trajectory,5,7,0.6585431694984436,0.75,0.03395682923934038,5.75,0.24077491462230682,-0.6873481273651123,1.7800341844558716
trajectory,5,8,0.9775000214576721,1.0,0.0,2.25,0.240336611866951,-0.008472833782434464,1.7822556495666504
trajectory,5,9,0.6819682121276855,0.75,0.02053181759335776,4.75,0.24047818779945374,-3.2112722396850586,1.8203130960464478
trajectory,5,10,0.6765213012695312,0.75,0.025978725403547287,4.75,0.24060608446598053,-4.342002868652344,1.8978484869003296
trajectory,5,11,0.9600000381469727,1.0,0.0,4.0,0.24062484502792358,-0.03391118720173836,2.052934169769287
trajectory,5,12,0.6623550653457642,0.75,0.050144938702251785,3.75,0.2404436618089676,-1.6242291927337646,2.1879465579986572
trajectory,5,13,0.9424999952316284,1.0,0.0,5.75,0.2401304394006729,-0.10063093900680542,2.153455972671509
trajectory,5,14,0.9650000333786011,1.0,0.0,3.5,0.2415393590927124,-0.012886462733149529,2.087385892868042
trajectory,5,15,0.6426700353622437,0.75,0.05732994729822333,5.0,0.24440515041351318,-3.5443639755249023,2.021782636642456
