training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,action_sequence,stopping_reason,target_d95_initial,target_d95_final,target_d02_initial,target_d02_final,oar_0_mean_initial,oar_0_mean_final,oar_1_mean_initial,oar_1_mean_final,oar_2_mean_initial,oar_2_mean_final,final_beam_angles_degrees,final_target_priority,final_hotspot_priority,final_oar_priorities
5,endpoint,prostate3d-100018,100018,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.3832892179489136,0.9832704067230225,1.6476411819458008,1.1757910251617432,0.30686742067337036,0.22730965912342072,0.588820219039917,0.3729317784309387,0.6268071532249451,0.32416483759880066,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-100040,100040,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.3664711713790894,0.9947422742843628,1.763956069946289,1.2266050577163696,0.2386501133441925,0.15898187458515167,0.48282548785209656,0.3291512429714203,0.5105007886886597,0.20108987390995026,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-100182,100182,easy,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.4179164171218872,0.9776287078857422,1.7334061861038208,1.13599693775177,0.2172030508518219,0.12946060299873352,0.48457902669906616,0.3516254723072052,0.6052784323692322,0.21481946110725403,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-100232,100232,moderate,True,0.0,2,add_beam_8|remove_beam_9,acceptable,1.2727090120315552,0.9785677790641785,1.6182111501693726,1.235335111618042,0.2343549132347107,0.2963349521160126,0.4997057020664215,0.3671780526638031,0.6729468107223511,0.3193512260913849,0|90|180|240,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-100319,100319,hard,False,0.14917551929300488,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,0.9460566639900208,0.9389747977256775,1.5649203062057495,1.1541306972503662,0.3923816382884979,0.4349071681499481,0.7139748930931091,0.5056372284889221,0.5462132692337036,0.2280765026807785,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
5,endpoint,prostate3d-100326,100326,moderate,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.370671033859253,0.9953603744506836,1.6524441242218018,1.110453486442566,0.20379334688186646,0.1515607088804245,0.6764498353004456,0.38484862446784973,0.5783149003982544,0.2979355752468109,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-100448,100448,hard,False,0.2474388845942237,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,1.0264755487442017,0.9210585951805115,1.5125781297683716,1.0986534357070923,0.536672830581665,0.5272495150566101,0.6211161017417908,0.5055610537528992,0.601457417011261,0.23693999648094177,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
5,endpoint,prostate3d-100492,100492,easy,True,0.0,1,add_beam_8,acceptable,1.4286717176437378,0.9892395734786987,1.6949336528778076,1.1792503595352173,0.21316683292388916,0.15021874010562897,0.49470746517181396,0.3474867343902588,0.6345311999320984,0.33375465869903564,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-100882,100882,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.2026997804641724,0.9941611886024475,1.6366428136825562,1.2035025358200073,0.17811624705791473,0.29704198241233826,0.5090389251708984,0.34752488136291504,0.654839813709259,0.3374605178833008,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-100887,100887,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.4240360260009766,0.9645638465881348,1.6578782796859741,1.0696051120758057,0.16292382776737213,0.13248170912265778,0.521284818649292,0.3212924301624298,0.7115569114685059,0.3167789876461029,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-101275,101275,moderate,True,0.0,1,add_beam_8,acceptable,1.166900396347046,0.9656409025192261,1.6302727460861206,1.2267669439315796,0.17759151756763458,0.1655014157295227,0.4266333281993866,0.33573222160339355,0.7092475295066833,0.30975160002708435,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-101320,101320,hard,False,0.5581561333355418,10,remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority|decrease_oar_2_priority,policy_step_limit,0.8872379064559937,0.9818640947341919,1.5986287593841553,1.1038117408752441,0.42302951216697693,0.563199520111084,0.6584125757217407,0.49884653091430664,0.5457722544670105,0.4253677725791931,0|90|150|180,1.0,25.0,1.0|1.0|0.5
5,endpoint,prostate3d-101520,101520,hard,False,0.2698876645528909,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,0.9130343198776245,0.9785202741622925,1.638622760772705,1.1557331085205078,0.4729286730289459,0.5643342137336731,0.5858418941497803,0.48144420981407166,0.5802120566368103,0.3164042532444,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
5,endpoint,prostate3d-101566,101566,hard,False,0.35237916084853094,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,1.0149590969085693,0.9778221845626831,1.5820021629333496,1.1816565990447998,0.4634036123752594,0.5744460225105286,0.5878971815109253,0.5084713101387024,0.6737027168273926,0.2650676667690277,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
