case_id,seed,split,split_ordinal,generator_condition,split_schema_version
synthetic3d-108231,108231,train,0,primary,1.0
synthetic3d-106763,106763,train,1,primary,1.0
synthetic3d-106815,106815,train,2,primary,1.0
synthetic3d-105322,105322,train,3,primary,1.0
synthetic3d-103652,103652,train,4,primary,1.0
synthetic3d-107405,107405,train,5,primary,1.0
synthetic3d-102673,102673,train,6,primary,1.0
synthetic3d-107149,107149,train,7,primary,1.0
synthetic3d-108728,108728,train,8,primary,1.0
synthetic3d-107837,107837,train,9,primary,1.0
synthetic3d-102413,102413,train,10,primary,1.0
synthetic3d-103122,103122,train,11,primary,1.0
synthetic3d-107058,107058,train,12,primary,1.0
synthetic3d-101429,101429,train,13,primary,1.0
synthetic3d-108720,108720,train,14,primary,1.0
synthetic3d-108028,108028,train,15,primary,1.0
synthetic3d-102382,102382,train,16,primary,1.0
synthetic3d-105261,105261,train,17,primary,1.0
synthetic3d-107528,107528,train,18,primary,1.0
synthetic3d-101559,101559,train,19,primary,1.0
synthetic3d-102326,102326,train,20,primary,1.0
synthetic3d-102421,102421,train,21,primary,1.0
synthetic3d-105603,105603,train,22,primary,1.0
synthetic3d-101848,101848,train,23,primary,1.0
synthetic3d-101706,101706,train,24,primary,1.0
synthetic3d-106382,106382,train,25,primary,1.0
synthetic3d-104247,104247,train,26,primary,1.0
synthetic3d-100988,100988,train,27,primary,1.0
synthetic3d-103952,103952,train,28,primary,1.0
synthetic3d-105738,105738,train,29,primary,1.0
synthetic3d-101722,101722,train,30,primary,1.0
synthetic3d-108281,108281,train,31,primary,1.0
synthetic3d-106154,106154,train,32,primary,1.0
synthetic3d-102907,102907,train,33,primary,1.0
synthetic3d-108548,108548,train,34,primary,1.0
synthetic3d-104932,104932,train,35,primary,1.0
synthetic3d-105141,105141,train,36,primary,1.0
synthetic3d-102094,102094,train,37,primary,1.0
synthetic3d-100656,100656,train,38,primary,1.0
synthetic3d-105939,105939,train,39,primary,1.0
synthetic3d-101001,101001,train,40,primary,1.0
synthetic3d-107662,107662,train,41,primary,1.0
synthetic3d-103894,103894,train,42,primary,1.0
synthetic3d-108672,108672,train,43,primary,1.0
synthetic3d-104467,104467,train,44,primary,1.0
synthetic3d-107779,107779,train,45,primary,1.0
synthetic3d-104800,104800,train,46,primary,1.0
synthetic3d-108162,108162,train,47,primary,1.0
synthetic3d-106035,106035,train,48,primary,1.0
synthetic3d-108207,108207,train,49,primary,1.0
synthetic3d-107882,107882,train,50,primary,1.0
synthetic3d-106023,106023,train,51,primary,1.0
synthetic3d-108599,108599,train,52,primary,1.0
synthetic3d-104766,104766,train,53,primary,1.0
synthetic3d-106188,106188,train,54,primary,1.0
synthetic3d-104562,104562,train,55,primary,1.0
synthetic3d-101948,101948,train,56,primary,1.0
synthetic3d-105876,105876,train,57,primary,1.0
synthetic3d-101496,101496,train,58,primary,1.0
synthetic3d-105418,105418,train,59,primary,1.0
synthetic3d-104859,104859,train,60,primary,1.0
synthetic3d-102430,102430,train,61,primary,1.0
synthetic3d-104681,104681,train,62,primary,1.0
synthetic3d-105182,105182,train,63,primary,1.0
synthetic3d-105689,105689,train,64,primary,1.0
synthetic3d-101529,101529,train,65,primary,1.0
synthetic3d-105753,105753,train,66,primary,1.0
synthetic3d-100189,100189,train,67,primary,1.0
synthetic3d-105656,105656,train,68,primary,1.0
synthetic3d-107761,107761,train,69,primary,1.0
synthetic3d-105091,105091,train,70,primary,1.0
synthetic3d-101076,101076,train,71,primary,1.0
synthetic3d-108798,108798,train,72,primary,1.0
synthetic3d-106624,106624,train,73,primary,1.0
synthetic3d-104945,104945,train,74,primary,1.0
synthetic3d-103538,103538,train,75,primary,1.0
synthetic3d-102071,102071,train,76,primary,1.0
synthetic3d-104202,104202,train,77,primary,1.0
synthetic3d-102052,102052,train,78,primary,1.0
synthetic3d-101712,101712,train,79,primary,1.0
synthetic3d-106801,106801,train,80,primary,1.0
synthetic3d-100839,100839,train,81,primary,1.0
synthetic3d-107146,107146,train,82,primary,1.0
synthetic3d-107242,107242,train,83,primary,1.0
synthetic3d-108390,108390,train,84,primary,1.0
synthetic3d-105381,105381,train,85,primary,1.0
synthetic3d-105937,105937,train,86,primary,1.0
synthetic3d-100840,100840,train,87,primary,1.0
synthetic3d-105286,105286,train,88,primary,1.0
synthetic3d-102517,102517,train,89,primary,1.0
synthetic3d-101367,101367,train,90,primary,1.0
synthetic3d-104319,104319,train,91,primary,1.0
synthetic3d-100151,100151,train,92,primary,1.0
synthetic3d-100339,100339,train,93,primary,1.0
synthetic3d-100384,100384,train,94,primary,1.0
synthetic3d-102495,102495,train,95,primary,1.0
synthetic3d-101539,101539,train,96,primary,1.0
synthetic3d-102527,102527,train,97,primary,1.0
synthetic3d-102548,102548,train,98,primary,1.0
synthetic3d-107542,107542,train,99,primary,1.0
synthetic3d-103713,103713,train,100,primary,1.0
synthetic3d-106663,106663,train,101,primary,1.0
synthetic3d-102359,102359,train,102,primary,1.0
synthetic3d-106195,106195,train,103,primary,1.0
synthetic3d-103324,103324,train,104,primary,1.0
synthetic3d-103849,103849,train,105,primary,1.0
synthetic3d-100635,100635,train,106,primary,1.0
synthetic3d-101442,101442,train,107,primary,1.0
synthetic3d-101944,101944,train,108,primary,1.0
synthetic3d-103796,103796,train,109,primary,1.0
synthetic3d-106312,106312,train,110,primary,1.0
synthetic3d-102048,102048,train,111,primary,1.0
synthetic3d-106745,106745,train,112,primary,1.0
synthetic3d-101741,101741,train,113,primary,1.0
synthetic3d-106596,106596,train,114,primary,1.0
synthetic3d-106159,106159,train,115,primary,1.0
synthetic3d-104064,104064,train,116,primary,1.0
synthetic3d-104543,104543,train,117,primary,1.0
synthetic3d-103800,103800,train,118,primary,1.0
synthetic3d-104407,104407,train,119,primary,1.0
synthetic3d-105756,105756,train,120,primary,1.0
synthetic3d-100049,100049,train,121,primary,1.0
synthetic3d-106225,106225,train,122,primary,1.0
synthetic3d-105265,105265,train,123,primary,1.0
synthetic3d-104962,104962,train,124,primary,1.0
synthetic3d-102880,102880,train,125,primary,1.0
synthetic3d-100110,100110,train,126,primary,1.0
synthetic3d-107376,107376,train,127,primary,1.0
synthetic3d-105429,105429,train,128,primary,1.0
synthetic3d-101997,101997,train,129,primary,1.0
synthetic3d-102385,102385,train,130,primary,1.0
synthetic3d-101786,101786,train,131,primary,1.0
synthetic3d-100867,100867,train,132,primary,1.0
synthetic3d-102212,102212,train,133,primary,1.0
